packet_size,protocol_type,duration,source_bytes,destination_bytes,count,same_srv_rate,serror_rate,threat
105,0,0.8446159171406393,2786,1293,5,0.7189361437580409,0.05235886792651914,0
494,1,0.40091461260581285,2682,3014,2,0.9685947349396957,0.0580822025146957,0
1207,1,0.5627675051415771,123,2819,9,0.7064567020328718,0.024642245341787463,0
745,1,0.18573142028404654,45,4845,1,0.799632738628378,0.04688245520675846,0
1394,1,0.16424929796508791,7406,61,57,0.06297104843066621,0.9583211493906136,1
62,0,0.5370205177311543,2650,1443,2,0.7381120517064745,0.08751360250570794,0
51,1,2.5076821128102753,45,93,37,0.29570298182795957,0.5804182916635968,1
750,0,0.8117199275115646,1054,4295,4,0.985224336270746,0.0901495350369298,0
1863,1,0.3475648309229338,8531,79,70,0.21090296504027423,0.435608265966934,1
85,3,3.412567557823346,9047,7004,1,0.20665266255101225,0.8043244268482415,1
1084,2,0.40640392603108744,29,709,4,0.9192154868716327,0.061686135820219395,0
374,1,0.03726601699788956,3143,732,5,0.7817594196625083,0.06336833098221228,0
60,2,4.236568125692953,26,6594,80,0.20801801487056923,0.4349828959601518,1
98,1,0.18262188709637334,85,12,61,0.08176352278576678,0.8411229700982941,1
860,1,0.32122886197988354,985,3978,5,0.7905157493956166,0.05363642944349694,0
1231,0,0.03385590560071494,2473,3643,1,0.7136060488567209,0.028204637721454952,0
1364,2,0.3406922127606549,34,6875,10,0.05499017650707949,0.5686231055351952,1
291,0,0.4249825950757813,1671,357,1,0.9426195083181871,0.0726371779788657,0
1489,1,0.3609711830621779,2944,4853,10,0.9876356678483225,0.048302979280801885,0
1488,0,0.12957296687125225,28,6401,81,0.09606414427323264,0.3071964808345254,1
1486,2,0.3925531243868055,7360,14,73,0.000534446021041568,0.983087664016558,1
1304,1,0.39986310243655643,1764,1846,5,0.7021383910899562,0.09949770113317366,0
541,1,0.41511643438281154,1978,453,10,0.8004152767227871,0.043327189612197906,0
1223,3,0.6561939612598655,3175,4499,3,0.7913619390178642,0.01187634773909465,0
414,1,0.5341301193327794,4916,2457,8,0.9075573654890994,0.05651286306416506,0
996,3,0.46089090962793855,3969,1703,9,0.976589315490646,0.0316320359134775,0
681,3,0.413326018868582,3624,1420,9,0.7056201500778125,0.08295986781963816,0
1693,0,2.0985113409038196,6750,96,8,0.5189515687340582,0.8510216370901698,1
424,3,0.3619748792588241,4932,929,6,0.7134604930742698,0.01102654775721994,0
1306,0,0.2573812433432351,6920,52,83,0.4566826560435879,0.9992250320736376,1
261,2,0.5883874432466203,779,2526,4,0.8874232133273555,0.07760421698545597,0
497,2,0.43021885509497915,4296,3365,9,0.9077580925783185,0.017591093829234527,0
95,0,0.9785134740499468,3754,1602,10,0.9523343645894542,0.05274302698609723,0
902,2,0.7767231943024644,3295,3762,9,0.9582695709511184,0.07797913507206845,0
1177,0,0.40008329978793244,1910,845,10,0.918725318704618,0.08258344951291904,0
1068,1,0.8312027487780612,3085,2758,8,0.934979607805813,0.08058353032726988,0
940,3,0.9698180020171322,3524,1136,9,0.9339835180059484,0.03395012555955014,0
1110,2,0.2621422351366561,7,5197,64,0.20358474424048129,0.4614583074993328,1
1006,1,0.4806601098142915,3095,4282,7,0.791491988079008,0.04007439702334913,0
1467,1,0.8331478990523947,2808,696,7,0.9454927516999669,0.0388399051806827,0
502,3,0.39002700075352603,4901,2593,4,0.9254587237616357,0.008548420783903254,0
1244,2,0.1737334331800765,1347,1172,8,0.9197540859776722,0.06222872714137349,0
77,3,0.7303056589845589,87,8039,21,0.04834666120528327,0.4736572117453194,1
824,1,0.19028833873294493,3690,2305,5,0.9722879411513323,0.062042247590645416,0
1093,1,0.40469908566379115,6585,68,73,0.20682748952661606,0.32611999247077633,1
585,0,0.12253141552567559,4740,2914,9,0.9269716370135836,0.05991568105828346,0
881,1,0.5263693781155374,2219,631,5,0.8598008440321664,0.05725860585821938,0
93,0,0.3523548387259698,16,8068,20,0.47112110284447356,0.6928570579164736,1
236,2,0.22731010663326556,4650,3803,3,0.7446234941163121,0.09107624685087952,0
574,1,0.6169408198245189,3185,541,3,0.7890252984312839,0.07653866532561897,0
53,3,0.27909047502408657,497,873,6,0.7653539458359159,0.0034214557814237767,0
48,3,0.4077361965638614,4073,2213,9,0.7724252085384962,0.06331695271284554,0
1034,2,0.5576683765063063,3703,4102,1,0.9988864409500195,0.05170884035262568,0
48,3,1.9398003781061823,8592,5164,13,0.11768365296856736,0.6982113555293419,1
991,0,0.9960911711723986,641,2127,7,0.7806321768471931,0.03934524135828234,0
93,3,0.3205398358135987,3845,1879,3,0.710626749385677,0.028509691206072385,0
113,2,0.6885745381672126,3238,45,1,0.8508908122535244,0.07971976387573257,0
65,1,0.3575435258399039,6413,9097,55,0.5289836571900448,0.3952033761660318,1
984,3,0.03423182599328245,3918,3499,7,0.8449913894016151,0.052106076701590266,0
1470,2,0.2941915618543718,4165,3581,10,0.9078953578356236,0.016332381087844506,0
1249,2,0.818380376265576,3566,3102,1,0.7844036839051253,0.06216268327444316,0
1210,0,0.8936362673931696,4115,1245,3,0.8566622761367316,0.08518106893988103,0
101,1,0.02483090049914205,440,3107,1,0.8118014948615772,0.03623493104930564,0
1099,1,0.2621368925223453,448,4234,6,0.9388021797215822,0.016480372851984205,0
157,3,0.9776629181508999,1111,1497,8,0.7095595529181566,0.07426376198993058,0
97,2,0.19721091804665092,8092,7360,1,0.08620678909189013,0.7314530962688461,1
1092,2,0.13596453547717702,7739,9436,69,0.39294973556291557,0.6076079601252016,1
177,0,0.6648875610516913,3174,699,1,0.9560626477119096,0.0941056883679024,0
